Participant, Proportion, BaseSize, Setting, RT
1,0.25,4,1.2589,7.2113
1,0.25,4,1.5521,10.1301
1,0.25,4,0.50119,2.2287
1,0.25,4,1.4274,10.6162
1,0.5,4,3.1623,3.7914
1,0.5,4,1.6184,12.1793
1,0.5,4,2.565,8.8729
1,0.5,4,3.1623,5.3872
1,0.71,4,2.789,6.1237
1,0.71,4,4.4203,5.0183
1,0.71,4,4.0653,4.1295
1,0.71,4,3.8986,4.1615
1,1,4,3.2975,2.4145
1,1,4,5.9255,3.9551
1,1,4,3.0326,4.0336
1,1,4,3.7388,4.8119
1,1.41,4,6.443,3.5283
1,1.41,4,5.6826,8.1641
1,1.41,4,3.2975,2.4308
1,1.41,4,3.5855,4.5291
1,2,4,7.3053,3.7742
1,2,4,4.4203,1.6009
1,2,4,9.7928,4.832
1,2,4,3.1623,1.7939
1,4,4,7.6176,5.1342
1,4,4,3.8986,3.1182
1,4,4,9.7928,5.9948
1,4,4,4.4203,2.2069
1,0.25,4,2.2623,4.008
1,0.25,4,1.0212,4.6311
1,0.25,4,1.6876,1.8588
1,0.25,4,1.0212,1.2484
1,0.5,4,3.2975,4.6482
1,0.5,4,2.2623,1.6301
1,0.5,4,1.3689,3.3626
1,0.5,4,2.6747,2.7657
1,0.71,4,3.7388,1.0215
1,0.71,4,2.359,2.685
1,0.71,4,4.6093,4.0093
1,0.71,4,2.9083,2.2339
1,1,4,3.5855,3.1539
1,1,4,2.9083,3.4672
1,1,4,3.5855,4.081
1,1,4,5.9255,4.238
1,1.41,4,3.5855,3.4684
1,1.41,4,5.4496,3.5882
1,1.41,4,4.0653,3.0445
1,1.41,4,5.9255,3.4306
1,2,4,3.5855,2.7118
1,2,4,3.8986,4.5433
1,2,4,8.2829,5.3028
1,2,4,5.9255,2.9464
1,4,4,5.9255,1.5486
1,4,4,6.7185,4.0964
1,4,4,3.8986,3.7958
1,4,4,9.3913,2.7473
1,0.25,8,2.789,3.5991
1,0.25,8,1.9135,4.864
1,0.25,8,2.2623,5.1104
1,0.25,8,1.9953,5.8334
1,0.5,8,2.9083,2.8102
1,0.5,8,3.4385,3.9145
1,0.5,8,5.6826,5.6877
1,0.5,8,2.789,3.594
1,0.71,8,5.2261,1.4304
1,0.71,8,2.789,4.4583
1,0.71,8,4.0653,3.0027
1,0.71,8,5.9255,5.4669
1,1,8,4.4203,1.0091
1,1,8,4.6093,0.95525
1,1,8,5.6826,4.1963
1,1,8,5.9255,0.91196
1,1.41,8,2.789,2.738
1,1.41,8,2.9083,2.5956
1,1.41,8,5.4496,3.5144
1,1.41,8,3.0326,1.2079
1,2,8,6.1789,5.1587
1,2,8,3.2975,3.118
1,2,8,5.6826,1.9322
1,2,8,5.0119,0.96261
1,4,8,3.5855,2.1559
1,4,8,5.4496,7.4491
1,4,8,3.5855,3.5858
1,4,8,6.7185,6.5979
1,0.25,8,2.789,6.8302
1,0.25,8,1.9135,4.3175
1,0.25,8,1.9135,3.6524
1,0.25,8,1.0648,1.8131
1,0.5,8,2.2623,4.0932
1,0.5,8,4.4203,3.93
1,0.5,8,3.4385,3.3429
1,0.5,8,2.6747,3.1238
1,0.71,8,3.0326,4.2039
1,0.71,8,3.4385,2.8466
1,0.71,8,3.8986,5.1959
1,0.71,8,2.6747,4.1593
1,1,8,3.8986,2.9261
1,1,8,3.7388,4.146
1,1,8,3.2975,3.3069
1,1,8,3.5855,4.2068
1,1.41,8,3.4385,3.0966
1,1.41,8,6.1789,4.1663
1,1.41,8,3.1623,1.9602
1,1.41,8,5.9255,4.8391
1,2,8,5.4496,3.2903
1,2,8,3.5855,2.8675
1,2,8,2.789,2.7767
1,2,8,4.6093,8.4241
1,4,8,6.7185,1.5777
1,4,8,4.8064,3.4676
1,4,8,3.8986,2.5842
1,4,8,3.0326,10.1807
2,0.25,4,2.1695,6.0236
2,0.25,4,3.2975,4.2599
2,0.25,4,3.0326,5.2801
2,0.25,4,3.4385,7.898
2,0.5,4,3.5855,2.1117
2,0.5,4,3.1623,2.4506
2,0.5,4,3.4385,7.1062
2,0.5,4,4.0653,4.1028
2,0.71,4,4.2391,7.3378
2,0.71,4,3.7388,3.8732
2,0.71,4,3.7388,6.3428
2,0.71,4,5.0119,5.856
2,1,4,4.2391,4.8212
2,1,4,4.8064,4.3475
2,1,4,4.0653,3.7554
2,1,4,4.0653,6.4048
2,1.41,4,5.4496,8.6311
2,1.41,4,4.4203,4.4401
2,1.41,4,3.5855,4.8556
2,1.41,4,4.4203,4.3432
2,2,4,5.2261,7.0898
2,2,4,4.6093,2.1293
2,2,4,4.0653,7.7889
2,2,4,3.5855,3.3402
2,4,4,5.2261,7.9332
2,4,4,4.4203,4.1829
2,4,4,3.8986,6.0442
2,4,4,4.8064,3.9505
2,0.25,4,3.7388,4.4873
2,0.25,4,3.4385,5.2371
2,0.25,4,4.4203,4.0085
2,0.25,4,2.6747,6.3803
2,0.5,4,2.9083,3.9719
2,0.5,4,3.4385,2.8465
2,0.5,4,3.2975,5.2683
2,0.5,4,3.4385,4.5076
2,0.71,4,4.2391,1.9884
2,0.71,4,2.9083,2.259
2,0.71,4,3.8986,4.137
2,0.71,4,5.2261,3.7041
2,1,4,4.0653,3.6157
2,1,4,3.0326,3.3646
2,1,4,3.4385,3.7302
2,1,4,4.2391,3.3109
2,1.41,4,3.4385,3.0131
2,1.41,4,4.8064,3.8131
2,1.41,4,3.4385,3.9952
2,1.41,4,3.8986,4.9973
2,2,4,3.5855,3.8628
2,2,4,3.0326,4.045
2,2,4,4.2391,4.5328
2,2,4,3.8986,3.8616
2,4,4,3.5855,2.6673
2,4,4,4.0653,3.7596
2,4,4,3.8986,4.5576
2,4,4,2.2623,6.0949
2,0.25,8,3.1623,3.7835
2,0.25,8,4.0653,5.6849
2,0.25,8,3.1623,5.3438
2,0.25,8,2.9083,6.5626
2,0.5,8,3.5855,4.2148
2,0.5,8,3.5855,5.1153
2,0.5,8,2.1695,6.935
2,0.5,8,2.789,4.4727
2,0.71,8,4.8064,2.9609
2,0.71,8,4.2391,3.3881
2,0.71,8,3.8986,1.7767
2,0.71,8,3.5855,5.308
2,1,8,4.4203,1.3658
2,1,8,4.6093,2.2137
2,1,8,4.4203,5.4328
2,1,8,3.7388,3.9561
2,1.41,8,3.0326,4.044
2,1.41,8,3.2975,3.2563
2,1.41,8,3.1623,6.3786
2,1.41,8,3.4385,3.0304
2,2,8,4.2391,6.0007
2,2,8,4.4203,2.8332
2,2,8,3.5855,2.3676
2,2,8,4.4203,2.3833
2,4,8,3.7388,4.5212
2,4,8,4.0653,5.4977
2,4,8,4.6093,4.2725
2,4,8,3.4385,6.8364
2,0.25,8,3.4385,4.8814
2,0.25,8,3.0326,4.6033
2,0.25,8,2.789,2.9405
2,0.25,8,2.789,3.6057
2,0.5,8,4.8064,1.8171
2,0.5,8,3.5855,5.7429
2,0.5,8,3.4385,3.7826
2,0.5,8,3.0326,3.2567
2,0.71,8,3.2975,4.4946
2,0.71,8,5.0119,4.9282
2,0.71,8,4.0653,5.2632
2,0.71,8,4.0653,2.1477
2,1,8,3.0326,3.2496
2,1,8,2.4599,2.6314
2,1,8,3.7388,2.2791
2,1,8,3.7388,3.0502
2,1.41,8,3.4385,2.9526
2,1.41,8,3.8986,3.4551
2,1.41,8,3.1623,1.4587
2,1.41,8,3.2975,4.3066
2,2,8,4.4203,4.1296
2,2,8,2.789,2.9239
2,2,8,2.6747,4.2161
2,2,8,3.5855,3.0978
2,4,8,3.8986,2.6496
2,4,8,3.1623,3.9305
2,4,8,4.6093,2.713
2,4,8,3.2975,5.6491
3,0.25,4,1.0212,4.5692
3,0.25,4,2.1695,6.3767
3,0.25,4,1.2589,5.4076
3,0.25,4,1.6184,6.9626
3,0.5,4,2.789,3.6715
3,0.5,4,3.4385,3.5761
3,0.5,4,2.0806,6.5071
3,0.5,4,3.1623,4.4902
3,0.71,4,2.789,6.2328
3,0.71,4,3.7388,6.4012
3,0.71,4,3.7388,4.6021
3,0.71,4,3.2975,4.3518
3,1,4,3.5855,4.3799
3,1,4,5.4496,4.0448
3,1,4,3.1623,2.6136
3,1,4,2.789,1.9123
3,1.41,4,5.2261,5.2606
3,1.41,4,4.6093,4.8718
3,1.41,4,3.8986,3.4402
3,1.41,4,3.8986,2.3582
3,2,4,7.3053,1.9047
3,2,4,4.8064,2.9392
3,2,4,5.2261,5.7094
3,2,4,3.7388,2.34
3,4,4,5.6826,5.382
3,4,4,4.4203,3.0416
3,4,4,6.443,4.8287
3,4,4,5.2261,2.4925
3,0.25,4,2.9083,3.3204
3,0.25,4,1.4274,5.0999
3,0.25,4,4.4203,2.2477
3,0.25,4,1.7598,3.6042
3,0.5,4,3.5855,3.6732
3,0.5,4,3.0326,4.6614
3,0.5,4,2.0806,3.2981
3,0.5,4,3.8986,4.5389
3,0.71,4,3.5855,2.338
3,0.71,4,3.2975,6.2948
3,0.71,4,3.2975,2.6176
3,0.71,4,3.7388,4.2372
3,1,4,3.5855,3.1257
3,1,4,2.6747,2.9291
3,1,4,3.5855,3.4838
3,1,4,3.7388,3.8083
3,1.41,4,5.0119,3.7283
3,1.41,4,3.5855,3.5456
3,1.41,4,4.2391,3.5727
3,1.41,4,4.0653,5.3213
3,2,4,3.5855,4.0286
3,2,4,2.4599,3.0738
3,2,4,3.5855,4.927
3,2,4,4.4203,3.6945
3,4,4,5.9255,1.0869
3,4,4,3.4385,8.7641
3,4,4,4.8064,6.0856
3,4,4,3.5855,5.703
3,0.25,8,2.0806,4.0765
3,0.25,8,2.2623,6.2364
3,0.25,8,1.9953,4.6465
3,0.25,8,2.789,5.7032
3,0.5,8,3.5855,4.2001
