Participant, Adaptor, Proportion, DV, IV, BaseSize, Setting, RT
1,baseline,0.25,size,size,4,0.875,3.1247
1,baseline,0.25,size,size,4,0.875,2.325
1,baseline,0.25,size,size,4,1.0625,0.92548
1,baseline,0.25,size,size,4,1,0.85039
1,baseline,0.5,size,size,4,1.75,2.7374
1,baseline,0.5,size,size,4,2.1875,1.2878
1,baseline,0.5,size,size,4,2.1875,0.95037
1,baseline,0.5,size,size,4,1.9375,1.6377
1,baseline,0.71,size,size,4,3,1.5877
1,baseline,0.71,size,size,4,3.3125,2.1625
1,baseline,0.71,size,size,4,4.375,2.4249
1,baseline,0.71,size,size,4,3.8125,1.6252
1,baseline,1,size,size,4,5,1.6376
1,baseline,1,size,size,4,3.625,3.0498
1,baseline,1,size,size,4,5,2.0376
1,baseline,1,size,size,4,5.6875,1.4752
1,baseline,1.41,size,size,4,6.375,1.8251
1,baseline,1.41,size,size,4,6.625,1.5252
1,baseline,1.41,size,size,4,8,1.3753
1,baseline,1.41,size,size,4,7.9375,2.0001
1,baseline,2,size,size,4,10.4375,2.0611
1,baseline,2,size,size,4,8.375,2.5999
1,baseline,2,size,size,4,9.3125,2.2125
1,baseline,2,size,size,4,7.9375,2.8624
1,baseline,4,size,size,4,19.625,1.7502
1,baseline,4,size,size,4,18.125,1.6127
1,baseline,4,size,size,4,17.875,1.6002
1,baseline,4,size,size,4,19.1875,2.9873
1,baseline,0.25,size,size,4,1.5625,3.1247
1,baseline,0.25,size,size,4,2,3.9495
1,baseline,0.25,size,size,4,1.75,2.0751
1,baseline,0.25,size,size,4,2.5625,1.7003
1,baseline,0.5,size,size,4,3.625,1.8876
1,baseline,0.5,size,size,4,3.25,1.6752
1,baseline,0.5,size,size,4,3.25,1.1753
1,baseline,0.5,size,size,4,3.5,1.7751
1,baseline,0.71,size,size,4,3.625,5.524
1,baseline,0.71,size,size,4,3.25,2.9123
1,baseline,0.71,size,size,4,4.5,1.7876
1,baseline,0.71,size,size,4,4.8125,2.7499
1,baseline,1,size,size,4,4.5,1.7502
1,baseline,1,size,size,4,5.0625,1.4627
1,baseline,1,size,size,4,5.3125,1.7378
1,baseline,1,size,size,4,4.9375,1.9501
1,baseline,1.41,size,size,4,8,3.3247
1,baseline,1.41,size,size,4,5.9375,2.9124
1,baseline,1.41,size,size,4,6.0625,2.2001
1,baseline,1.41,size,size,4,7.0625,2.425
1,baseline,2,size,size,4,8.9375,1.3127
1,baseline,2,size,size,4,9.0625,1.8376
1,baseline,2,size,size,4,8.75,2.3625
1,baseline,2,size,size,4,10.125,1.9501
1,baseline,4,size,size,4,17.6875,1.7876
1,baseline,4,size,size,4,18.5,1.4753
1,baseline,4,size,size,4,18.375,3.3373
1,baseline,4,size,size,4,19.375,2.0251
1,baseline,0.25,size,size,8,2.8125,1.8001
1,baseline,0.25,size,size,8,3.8125,1.8001
1,baseline,0.25,size,size,8,3.4375,2.1875
1,baseline,0.25,size,size,8,3.75,2.1
1,baseline,0.5,size,size,8,6.9375,1.5751
1,baseline,0.5,size,size,8,5.375,2.275
1,baseline,0.5,size,size,8,6.1875,1.2002
1,baseline,0.5,size,size,8,5.5,2.1
1,baseline,0.71,size,size,8,7,3.4871
1,baseline,0.71,size,size,8,10.125,1.7252
1,baseline,0.71,size,size,8,8.5625,1.4502
1,baseline,0.71,size,size,8,7.9375,2.275
1,baseline,1,size,size,8,11.5625,3.0248
1,baseline,1,size,size,8,9.9375,1.6502
1,baseline,1,size,size,8,9.3125,3.9246
1,baseline,1,size,size,8,11.9375,1.3877
1,baseline,1.41,size,size,8,15,2.0262
1,baseline,1.41,size,size,8,13,1.2628
1,baseline,1.41,size,size,8,12.125,3.1373
1,baseline,1.41,size,size,8,14.125,1.9001
1,baseline,2,size,size,8,14,5.1866
1,baseline,2,size,size,8,18.75,1.3752
1,baseline,2,size,size,8,17.75,2.1125
1,baseline,2,size,size,8,15.375,1.3003
1,baseline,4,size,size,8,37.1875,1.2253
1,baseline,4,size,size,8,34,1.5877
1,baseline,4,size,size,8,35.875,0.77541
1,baseline,4,size,size,8,30.875,2.7373
1,baseline,0.25,size,size,8,3.25,1.1503
1,baseline,0.25,size,size,8,3,0.96287
1,baseline,0.25,size,size,8,4.5625,1.0878
1,baseline,0.25,size,size,8,3.75,0.97533
1,baseline,0.5,size,size,8,6.375,1.1003
1,baseline,0.5,size,size,8,5.125,1.4252
1,baseline,0.5,size,size,8,6.375,0.90038
1,baseline,0.5,size,size,8,4.5625,0.80041
1,baseline,0.71,size,size,8,6.5,1.8251
1,baseline,0.71,size,size,8,7.6875,1.3252
1,baseline,0.71,size,size,8,7.375,1.6502
1,baseline,0.71,size,size,8,7.3125,1.7251
1,baseline,1,size,size,8,9.625,1.1753
1,baseline,1,size,size,8,12.25,0.82537
1,baseline,1,size,size,8,9.25,2.4625
1,baseline,1,size,size,8,10,1.0503
1,baseline,1.41,size,size,8,13.25,1.5513
1,baseline,1.41,size,size,8,16.25,1.3377
1,baseline,1.41,size,size,8,13.4375,1.8876
1,baseline,1.41,size,size,8,13.5,2.5874
1,baseline,2,size,size,8,12.9375,1.925
1,baseline,2,size,size,8,18.375,1.0128
1,baseline,2,size,size,8,20.625,1.9001
1,baseline,2,size,size,8,21.4375,1.3752
1,baseline,4,size,size,8,37.375,1.5377
1,baseline,4,size,size,8,36.75,1.3627
1,baseline,4,size,size,8,36,1.1253
1,baseline,4,size,size,8,35.3125,1.6251
1,baseline,0.25,size,SF,4,4.5,2.4374
1,baseline,0.25,size,SF,4,4.9375,3.1873
1,baseline,0.25,size,SF,4,4.25,4.6618
1,baseline,0.25,size,SF,4,5.4375,3.9745
1,baseline,0.5,size,SF,4,4.875,3.0873
1,baseline,0.5,size,SF,4,5.625,3.7746
1,baseline,0.5,size,SF,4,6.3125,2.3874
1,baseline,0.5,size,SF,4,5.75,3.4122
1,baseline,0.71,size,SF,4,5.3125,2.4124
1,baseline,0.71,size,SF,4,5.1875,4.9867
1,baseline,0.71,size,SF,4,5.6875,1.4627
1,baseline,0.71,size,SF,4,5.3125,3.0373
1,baseline,1,size,SF,4,5.375,3.4996
1,baseline,1,size,SF,4,5.6875,1.4002
1,baseline,1,size,SF,4,5.1875,3.4247
1,baseline,1,size,SF,4,5.25,3.0373
1,baseline,1.41,size,SF,4,4.75,2.7873
1,baseline,1.41,size,SF,4,5.25,2.225
1,baseline,1.41,size,SF,4,5.9375,2.8999
1,baseline,1.41,size,SF,4,6,1.9251
1,baseline,2,size,SF,4,5.125,1.6627
1,baseline,2,size,SF,4,5.1875,3.0624
1,baseline,2,size,SF,4,5.875,3.3498
1,baseline,2,size,SF,4,5.625,4.037
1,baseline,4,size,SF,4,5.1875,2.325
1,baseline,4,size,SF,4,5.5625,2.6749
1,baseline,4,size,SF,4,4.625,3.1872
1,baseline,4,size,SF,4,5.0625,2.8498
1,baseline,0.25,size,SF,4,4.9375,2.3125
1,baseline,0.25,size,SF,4,5.6875,1.9751
1,baseline,0.25,size,SF,4,6.0625,3.987
1,baseline,0.25,size,SF,4,5.9375,2.3005
1,baseline,0.5,size,SF,4,5.3125,2.6249
1,baseline,0.5,size,SF,4,5.8125,2.4374
1,baseline,0.5,size,SF,4,6.5625,1.5252
